list_name,fetched_at_ts,endpoint,kitsu_id,position,list_rank,trend_rank
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,54597,17,60.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,36446,18,140.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,38449,19,119.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,30463,20,93.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,56452,41,40.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,25524,42,1433.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,3480,43,95.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,16084,44,149.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,64,45,155.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,40679,46,508.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,22926,47,182.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,53928,48,83.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,16462,49,423.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,26852,50,168.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,39537,51,446.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,23702,52,1591.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,38359,53,600.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,25541,54,940.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,1388,55,246.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,49863,56,114.0,
